eq,variable,y,pred
1,163,0.0,0.025646484625846358
1,164,0.0,0.025614843861475337
1,165,0.0,0.025645309862242796
1,166,0.0,0.02545825924063003
1,167,0.0,0.0255905054517375
1,168,0.0,0.025563812298719426
1,169,0.0,0.025560703030106328
1,17,0.0,0.02562312631542362
1,170,0.0,0.02579886583486289
1,171,0.0,0.02576181003669723
1,172,0.0,0.025516159555622083
1,173,0.0,0.025561147965669474
1,174,0.0,0.025697274447782553
1,175,0.0,0.02566894437655674
1,176,0.0,0.025583003815118258
1,177,0.0,0.025642964125945716
1,178,0.0,0.02569572365440407
1,179,0.0,0.025647265073240052
1,18,0.0,0.0257542503629672
1,180,0.0,0.0255475850713563
1,181,0.15204731203363,0.02570298039759928
1,182,0.0,0.02561663307117203
1,183,0.0,0.025642506876852333
1,184,0.0,0.025685260306934354
1,185,0.0,0.025697765995147188
1,186,0.0,0.025659859437741666
1,187,-0.144019756565388,0.02574970866135455
1,188,0.0,0.025718261541181103
1,189,0.0,0.025674193961697244
1,19,0.0,0.02561232628813046
1,190,0.143405240029381,0.025569513352672536
1,191,0.0,0.02571276618651756
1,192,0.0,0.025670973942103926
1,193,0.0,0.025671875447128678
1,194,0.0,0.02573377411848267
1,195,0.0,0.02562968435598502
1,196,0.0,0.025657904973199946
1,197,0.0,0.025707312443043525
1,198,0.0,0.02551380431798316
1,199,0.0,0.025623931464490362
1,2,0.0,0.025648127115955287
1,20,0.0,0.025571010264381203
1,200,0.0,0.025588696931155362
1,201,0.0,0.025614400375274262
1,202,0.0,0.02572590747768605
1,203,0.0,0.02551324729286171
1,204,0.0,0.025682847362272124
1,205,0.0,0.025700247946188776
1,206,0.0,0.025678357554845228
1,207,0.0,0.025731912697221405
1,208,0.0,0.025649027310359056
1,209,0.0,0.025465884241702215
1,21,0.0,0.02569718537619125
1,210,0.0,0.025560719198416793
1,211,0.0,0.02564174698033686
1,212,0.0,0.025623777083498663
1,213,0.0,0.025656358428238664
1,214,0.0,0.025738326364619986
1,215,0.0,0.02579169148061953
1,216,0.0,0.025550426350121475
1,217,0.0,0.025689592854924358
1,218,0.0,0.025684962390231734
1,219,0.0,0.02561972803561251
1,22,0.0,0.02557599435578747
1,220,0.0,0.025576997950326846
1,221,-0.136096493462215,0.025667314201042724
1,222,-0.156193859015158,0.025697797368598275
1,223,0.0,0.025598820125608535
1,224,0.0,0.025568913156515587
1,225,0.0,0.025650287321071902
1,226,0.0,0.025660492512960292
1,227,-0.139590311443518,0.0256873017371399
1,228,0.0,0.025662446632016455
1,229,0.0,0.025686800388916107
1,23,0.0,0.02561630570817285
1,230,0.0,0.025607248846305494
1,231,0.0,0.025583091246819574
1,232,0.0,0.02570160422120936
1,233,0.0,0.025722362149354513
1,234,0.0,0.025564838518973804
1,235,0.0,0.025688090586311812
1,236,0.0,0.02566882168854985
1,237,0.0,0.025616881303714745
1,238,0.0,0.025488632885048653
1,239,0.0,0.025628241974015458
1,24,0.0,0.025654449803442225
1,240,0.0,0.025623137955409946
1,241,0.130378305170005,0.02559740583596333
1,242,0.0,0.025792410330478754
1,243,0.0,0.025626689385178907
1,244,0.0,0.025707202747530675
1,245,0.0,0.025643750968948435
1,246,0.150159815684174,0.025705582092874366
1,247,-0.150868471265024,0.025686875182564003
1,248,0.0,0.02581636798395053
1,249,0.0,0.02569726321761089
1,25,0.0,0.025516717493864437
1,250,0.0,0.025687907198952958
1,26,0.0,0.025746670853433407
1,27,0.0,0.025642484043791467
1,28,0.0,0.025595424593161876
1,29,0.0,0.02551171191215556
1,3,0.0,0.025736210620514472
1,30,0.0,0.025756361508640753
1,31,0.137162338260765,0.025660435420492744
1,32,0.0,0.025641216849674225
1,33,0.0,0.02566101378538902
1,34,0.0,0.025588796320790332
1,35,0.0,0.02564833472586821
1,36,0.0,0.02563478592470666
1,37,0.135052502052206,0.025572057192272686
1,38,0.0,0.02564622937405744
1,39,0.0,0.02559502308752726
